variable,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
bio1,-0.3130927402026156,-0.15312729027222907,0.09302786256821229,0.11333362298025415,0.021611028488924572,0.046161408468967075,-0.13709927378134454,-0.025305172553380818,0.11005631704078514,0.11995184063989099,0.12999309387036348,0.05751462315260362,0.0032368909006276836,-0.559425818123957,-0.08516235737576058,-0.18820800041920355,0.5930618858046949,-0.2844641017438174,1.2717574821958213e-8
bio10,-0.2763638056033122,-0.23618443174054654,0.07235251810211328,0.188733889328254,-0.07731703220001569,0.06264406526113965,-0.14075384637998817,0.009607918054288022,-0.002754100369840043,0.09019343083196255,0.11657139690296613,0.0454123803156605,-0.1400109443631722,-0.2862008973369288,-0.08833737296275443,0.14445518265457286,-0.7307379116213559,-0.33048769076332707,-5.066240705484731e-9
bio11,-0.32513379235258466,-0.09672306045788462,0.11480843960700188,0.0435624252482693,0.09558903888393154,0.028809838901031243,-0.062293171682066245,0.12570062976534319,0.03263388189068663,0.017595382638547128,-0.01073126144884206,-0.04951596357596528,0.03914575328126119,-0.28437754023181444,-0.06407028513912257,0.08087600420025196,-0.08047048414844926,0.8583354141328258,-2.32390347700779e-9
bio12,0.219556590080202,-0.13726884523911084,0.34408729831628665,0.1120660499869813,0.31202487670744,-0.041820685192668766,0.20639609512489493,0.2935467623083329,0.13564479664046836,0.0803119375246643,0.3198385414577084,0.6469228762386293,0.11638975805242205,0.10491923392680008,-0.01653281038332774,-0.049947633882225756,-0.02760400824565122,0.019484227021607566,-1.6838274236425216e-8
bio13,0.14228405532321498,0.11089629242648863,0.45629676644181427,0.12634687070408046,0.054785322500111824,0.37737152470368307,-0.38375004641238797,-0.33860670208867283,-0.04066352533150787,-0.521462505502455,-0.16795927689764945,0.12861325481678348,0.11791141519464463,-0.03514319679961798,0.03752571308692696,0.03220960509147005,-0.006556108669560565,0.0016036393979384014,-3.5467359659107257e-9
bio14,0.18810220209876988,-0.3477048645615306,-0.0355918959518813,-0.07201729081805942,0.2855753403221549,0.1183381641187945,-0.14936178689380306,0.08808450655412017,-0.8165941656042559,0.11018253293092133,0.01277047077031693,-0.04793192690610376,-0.14463638098486778,-0.03371210630726709,0.0018869924856673337,-0.058461853824700497,0.06726776246062884,0.014537178099576635,1.2663943646678292e-8
bio15,-0.11796701851956588,0.36180108477985623,0.215137942418007,0.07700319201115134,-0.18822274400430064,0.16361428490458624,0.14854612432595724,-0.16960383872114515,-0.24716188665194486,0.6036236841383417,-0.3938726228893379,0.2737407704695727,0.12788510100681774,-0.03745026191966662,0.12067296898130067,-0.027976152933214864,-0.034068270507018536,0.012588941412627163,2.3983194373818853e-9
bio16,0.12966342364495315,0.1055505433321556,0.4639088460431132,0.15676308384423915,0.135705628526584,0.27454557251151446,0.05829011202749047,0.0655725589997119,0.14251994790856115,0.3242638124407903,0.2682429222824328,-0.5975896007289678,-0.16378917025698198,0.18046128021076743,-0.12301187797428231,-0.026006217070760628,0.026199806181493042,-0.018900204173205766,6.367510330418886e-9
bio17,0.1900140298956709,-0.3504539333716881,-0.04205932914785085,-0.03569808893844317,0.2637916120605924,0.03788224810315604,-0.011766516898865556,-0.16430297254036544,0.2900990284891946,0.19188303796286368,-0.16434999201347425,-0.13231838028040513,0.10471995397882632,-0.14055404665054838,0.7304501280108217,0.09082633447237856,-0.04303173478374933,-0.001580989251141805,1.5277039480074779e-9
bio18,0.19716342728400205,0.011825975951672937,0.40693224441868264,0.2339532118933782,-0.0682606268913479,-0.7371382877819299,0.08392469289318676,0.004708878056626535,-0.11137020940098127,-0.10816752531077586,-0.2505991217124219,-0.1330700044833466,-0.20044276949400286,-0.1971716710522769,0.035511642689541226,0.020288611941931364,0.009599012320623032,-0.011444473227903675,9.776236101588043e-9
